"","project_number","Baseline Year","Operation Name","Country Name","Objective","outcomes","outcomes_indicators","outcomes_units","Baseline","outcomes_means","Indicator Observation","Long.op.name"
"375","JA-L1049",2017,"Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","Jamaica","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","% of female students aged 13-15 years who are insufficiently physically active","%",62.7,"Global school-based student health survey (GSHS)","Definition: % of students who spent more than three or more screen time hours per day (sitting and watching television, playing computer games, or talking","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"378","JA-L1049",2018,"Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme","Jamaica","The programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of Non-Communicable (Chronic) Diseases (NCDs)risk factors and improved access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management, that provide more efficient and higher quality care.The policy-based operation of this hybrid programme is the first of a programmatic policy-based loan series, which will be made up of two contractually independent and technically linked loans, as per document Policy-based Loans Guidelines for Preparation and Implementation (CS-3633-2).","To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management","Number of persons who visit curative clinics","# of beneficiaries",520502,"Ministry of Health (i) Hospital Monthly Statistics Report (ii) Monthly Clinic Summary Report","Parameters: parish population, clinic usage rate, ambulatory care rate, hospital discharge rate. The average annual (%) growth rate in the period 2010-2017 was 0.20, therefore, it is expected that the population in the intervention areas will increase at this pace.","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"390","NI-L1082",2015,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Recien nacidos complicados por sepsis o asfixia neonatal que recibieron atención según la norma.","%",50,"Evaluación final a partir de datos estadísticos oficiales.","Evaluación mediante auditoría de expedientes: Indicadores: (i) porcentaje de recién nacidos que durante el nacimiento presentaron asfixia y fueron reanimados de acuerdo al protocolo establecido; y (ii) porcentaje de recién nacidos que durante el nacimiento con diagnóstico de sepsis en quienes se aplicó el protocolo de atención. El dato será medido estableciendo una línea de base y en la evaluación final, basado en la revisión de una muestra de expedientes de egresos del HEODRA en el semestre anterior a la medición, verificando la aplicación del protocolo.","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"392","NI-L1082",2015,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Ingreso oportuno de los pacientes recién nacidos complicados.","%",60,"fuente primaria: estadísticas oficiales, construcción del indicador: actividad de evaluación del programa.","Se toma como referente asfixia neonatal (sala de partos y atención hospitalaria), las cifras provienen del Estudio LIST para Nicaragua. El dato será medido estableciendo una línea de base y en la evaluación final, basado en la revisión de una muestra de expedientes de egresos del HEODRA en el semestre anterior e la medición.","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"393","NI-L1082",2015,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Cobertura del programa de Hipertensión Arterial (HTA) en el primer nivel.","%",0,"Evaluación final a partir de datos estadísticos oficiales.","Considera el porcentaje de población recibiendo atenciones de control de la HTA en el primer nivel respecto de la población identificada con este problema de salud. La fuente son los registros de pacientes detectados (por dispensarización o demanda espontanea en el primer nivel y segundo nivel). Las estadísticas a nivel de SILAIS son la fuente de este dato, pero será construido en la evaluación independiente, construyendo línea de base, nivel intermedio y final.","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"394","NI-L1082",2015,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Detección temprana de la Enfermedad Renal Crónica (ERC).","%",0,"Evaluación final a partir de datos estadísticos oficiales.","Se considera detección temprana cuando se realiza sistemáticamente en grupos de riesgo (ej: población adulta masculina) y no por consulta por síntomas de etapa avanzada de la enfermedad.","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"395","NI-L1082",2015,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Tratamiento oportuno y seguimiento a pacientes con enfermedades renal en el primer nivel.","%",0,"Evaluación independiente final a partir de datos oficiales.","Se considera tratamiento oportuno cuando los estadíos 1 a 3 de la enfermedad renal (pre-insuficiencia). El indicador será construido como parte de la evaluación tanto para la línea de base (año 2015) como en la medición intermedia (2018) y final (2020).","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"396","NI-L1082",2015,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Derivaciones evitables (Consultas de Especialidad) desde la red de atención primaria al HEODRA.","%",30,"Evaluación final a partir de datos estadísticos oficiales.","El funcionamiento de la red (protocolos y gestor de red) permitirá reducir las derivaciones evitables que no cumplen con los criterios de derivación. La fuente será una revisión de una muestra de expedientes de consulta externa en todas las especialidades, realizada como actividad de evaluación.","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"397","NI-L1082",2015,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Cirujías mayores ambulatorias.","%",7,"Evaluación final a partir de datos estadísticos oficiales.","La fuente son las estadísticas oficiales del HEODRA y se trata de un indicador de reporte rutinario.","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"398","NI-L1082",2017,"Modernization of Infrastructure and Management of Hospitals - Western Region","Nicaragua","The program's goal is to improve public health services and access to those services in the western territory of Nicaragua, using state of the art in hospital management strategies, in order to help improve the state of health and welfare of the people of that territory.","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","Tasa de infecciones nosocomiales en el HEODRA","%",0,"Reporte oficial incluido en la Evaluación Final","El dato es de reporte rutinario pero en el caso del HEODRA dadas las condiciones de la unidad actual se ha dejado de reportar y se retomará en la unidad nueva.","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"399","NI-L1095",2012,"Community Health Program for Rural Municipios","Nicaragua","Reduce health disparities and accelerate reductions in maternal and infant morbidity and
mortality in priority Local Comprehensive Health Care Systems (SILAIS) in the North Caribbean, Jinotega, Matagalpa, and the
Dry Corridor Region, specifically by broadening and improving access to and coverage of high-quality health promotion and
health care services under the family and community health model (paragraph 1.18).","Acceso a la salud sexual y reproductiva y maternidad segura mejorado.","Mujeres en edad fértil con necesidad insatisfecha de planificación familiar.","%",14,"Reporte de Evaluación","Fuente: ENDESA 2018 (disponible 2020)","NI-L1095 - Community Health Program for Rural Municipios"
"400","NI-L1095",2012,"Community Health Program for Rural Municipios","Nicaragua","Reduce health disparities and accelerate reductions in maternal and infant morbidity and
mortality in priority Local Comprehensive Health Care Systems (SILAIS) in the North Caribbean, Jinotega, Matagalpa, and the
Dry Corridor Region, specifically by broadening and improving access to and coverage of high-quality health promotion and
health care services under the family and community health model (paragraph 1.18).","Cobertura de atención primaria a la niñez aumentada.","Niños de 19 a 29 meses de edad que cuentan con su esquema de vacunación completo de acuerdo a su edad.","%",87,"Evaluación final","Fuente: ENDESA 2018","NI-L1095 - Community Health Program for Rural Municipios"
"401","NI-L1095",2012,"Community Health Program for Rural Municipios","Nicaragua","Reduce health disparities and accelerate reductions in maternal and infant morbidity and
mortality in priority Local Comprehensive Health Care Systems (SILAIS) in the North Caribbean, Jinotega, Matagalpa, and the
Dry Corridor Region, specifically by broadening and improving access to and coverage of high-quality health promotion and
health care services under the family and community health model (paragraph 1.18).","Cobertura de atención primaria a la niñez aumentada.","Niños de 6 a 24 meses quienes recibieron micronutrientes diariamente en dos rondas de dos meses en el año biológico.","%",13.8,"Reporte de evaluación externa de desempeño","El indicador refleja la norma de nutrición que prevé tres rondas de suplementación de 60 días consecutivos a los 6, 18 y 24 meses de edad.","NI-L1095 - Community Health Program for Rural Municipios"
"402","NI-L1095",2012,"Community Health Program for Rural Municipios","Nicaragua","Reduce health disparities and accelerate reductions in maternal and infant morbidity and
mortality in priority Local Comprehensive Health Care Systems (SILAIS) in the North Caribbean, Jinotega, Matagalpa, and the
Dry Corridor Region, specifically by broadening and improving access to and coverage of high-quality health promotion and
health care services under the family and community health model (paragraph 1.18).","Acceso a información y educación en salud y servicios para los adolescentes.","MEF adolescentes en unión con necesidad satisfecha de anticoncepción.","%",89,"Evaluación final","Fuente: ENDESA 2018 (disponible en 2020)","NI-L1095 - Community Health Program for Rural Municipios"
"403","NI-L1095",2015,"Community Health Program for Rural Municipios","Nicaragua","Reduce health disparities and accelerate reductions in maternal and infant morbidity and
mortality in priority Local Comprehensive Health Care Systems (SILAIS) in the North Caribbean, Jinotega, Matagalpa, and the
Dry Corridor Region, specifically by broadening and improving access to and coverage of high-quality health promotion and
health care services under the family and community health model (paragraph 1.18).","Cobertura de atención primaria a la niñez aumentada.","Niños menores de 24 meses atendidos con vigilancia nutricional comunitaria.","%",11,"Reporte de evaluación.","cobertura: niños con visita en el último mes respecto de la población de menores de dos años (estimación).","NI-L1095 - Community Health Program for Rural Municipios"
"404","NI-L1095",2015,"Community Health Program for Rural Municipios","Nicaragua","Reduce health disparities and accelerate reductions in maternal and infant morbidity and
mortality in priority Local Comprehensive Health Care Systems (SILAIS) in the North Caribbean, Jinotega, Matagalpa, and the
Dry Corridor Region, specifically by broadening and improving access to and coverage of high-quality health promotion and
health care services under the family and community health model (paragraph 1.18).","Acceso a la salud sexual y reproductiva y maternidad segura mejorado.","Nacimientos en establecimientos de salud.","%",71,"Reporte de Evaluación","Fuente: ONE-MINSA","NI-L1095 - Community Health Program for Rural Municipios"
"405","NI-L1095",2015,"Community Health Program for Rural Municipios","Nicaragua","Reduce health disparities and accelerate reductions in maternal and infant morbidity and
mortality in priority Local Comprehensive Health Care Systems (SILAIS) in the North Caribbean, Jinotega, Matagalpa, and the
Dry Corridor Region, specifically by broadening and improving access to and coverage of high-quality health promotion and
health care services under the family and community health model (paragraph 1.18).","Asignación de personal de atención primaria para el área rural y red comunitaria ampliada.","Brecha de personal asignado a los ESAFC en los SILAIS priorizados.","%",20.31,"Reporte de Evaluación externa","Se define como la brecha porcentual de personal asignado a los ESAFC para cumplir con la asignación de tres trabajadores de la salud por Equipo (recurso auxiliar, enfermería y médico). Fuente: MINSA, DGRRHH, DGSS, DGPD)","NI-L1095 - Community Health Program for Rural Municipios"
"407","NI-L1143",2014,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Numero de casos de malaria reducidos","Establecimientos de salud reportando al sistema de vigilancia según norma nacional","%",70,"Evaluación final del programa","Indicadores del Plan Estratégico de la Respuesta Nacional a la Malaria 2014-2018-MINSA","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"408","NI-L1143",2014,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Calidad de atención de la salud mejorada","Ingreso oportuno de las puérperas (puerperio mediato)","%",65.3,"Evaluación final del programa","Corresponde al puerperio mediato. Promedio nacional","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"409","NI-L1143",2014,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Calidad de atención de la salud mejorada","Personas que requieren cuidados especiales y acceden a servicios de rehabilitación comunitaria de acuerdo a la condición de salud","%",7,"Evaluación final del programa","Cuidados especiales: rehabilitación por discapacidad primaria o secundaria a enfermedad crónica o accidente.","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"410","NI-L1143",2014,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Numero de casos de malaria reducidos","Casos diagnosticados que reciben tratamiento dentro de las primeras 24 horas","%",70,"Evaluación final del programa","Indicadores del Plan Estratégico de la Respuesta Nacional a la Malaria 2014-2018-MINSA","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"411","NI-L1143",2015,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Calidad de atención de la salud mejorada","Cobertura hospitalaria cirugía electiva","% entre cirugías realizadas con el total de programadas",66.38,"Evaluación final del programa","Se espera aumento por la mayor oferta de servicios hospitalarios. Porcentaje de cirugía programada en relación con el total de cirugías realizadas","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"417","NI-L1143",2017,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Calidad de atención de la salud mejorada","Personas mayores de 25 años en quienes se realizan acciones de captación oportuna de enfermedades crónicas: Diabetes, Hipertensión, Sobrepeso/obesidad, Cáncer cervical, Enfermedad renal crónica","%",20,"Evaluación final del programa","Las acciones de detección requieren tener participación comunitaria, estrategias de sensibilización, continuidad con protocolos de diagnóstico y manejo en atención primaria y en el segundo nivel a través de la estrategia de redes del MOSAFC","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"418","NI-L1143",2017,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Calidad de atención de la salud mejorada","Pacientes con enfermedades crónicas que inician proceso de diagnóstico y tratamiento inmediato","%",50,"Evaluación final del programa","Las acciones de detección requieren tener participación comunitaria, estrategias de sensibilización, continuidad con protocolos de diagnóstico y manejo en atención primaria y en el segundo nivel a través de la estrategia de redes del MOSAFC","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"419","NI-L1143",2017,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Gestión territorial de determinantes de la salud mejorada","Velocidad promedio (camioneta, autobús) en las vías recolectoras principales rurales intervenidas","Km/Hra",20,"Evaluación final del programa","Municipios de Quilalí-Wiwilí. Vías recolectoras: conectan las comunidades rurales a la unidad de salud cabecera del municipio.","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"420","NI-L1143",2018,"Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco","Nicaragua","The objective of the program is to improve the health and well-being of the population through the territorial management of health and its most significant determinants in priority areas, improving access and coverage to health services and health and quality, with a view to accelerating the reduction of maternal and infant morbidity and mortality and halting the progress of major chronic diseases.","Gestión territorial de determinantes de la salud mejorada","Hogares en los que consumen agua con calidad adecuada","%",0,"Evaluación final del programa","Elaborar Línea de base en 2018 y medición final en el 2022. Las encuestas se levantarán a través del MINSA como acciones de vigilancia. Meta: mejora en 8 puntos porcentuales","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"421","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 1: Mejorar la detección y el seguimiento de los casos","Boletines epidemiológicos publicados por semana que incluyan casos de COVID-19.","%",0,"Boletín publicado en página web oficial del Ministerio de Salud","Numerador: Número de boletines publicados que incluye la información de COVID-19 actualizada (Conforme a protocolo aprobado). Denominador: Número de boletines publicados por año para cada año del Programa (52 boletines).","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"422","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 2: Apoyar esfuerzos para la interrupción de la cadena de transmisión de la enfermedad3","Protocolos de vigilancia, guías y lineamientos demanejo y atención de casosde COVID-19 aprobados e implementados.","%",0,"Informe firma verificadora","Numerador: Número de protocolos, guías y lineamientos con actividades conforme las directrices de la OMS adaptadas al contexto del país Denominador: total de protocolos, guías y lineamientos acordados.","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"423","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 1: Mejorar la detección y el seguimiento de los casos","Casos sospechosos a quienes se realizó prueba diagnostico (PCR).","%",0,"Registro de laboratorios Informe firma verificadora","Esta definición aplica para los primeros dos mil casos, luego se considerarán definiciones por nexo epidemiológico","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"424","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 3: Mejorar la capacidad de provisión de servicios","Unidades de salud que implementan el algoritmo de atención de pacientes sospechosos de COVID-19 (72 hospitales y 143 Centros de Salud (C/S)).","%",0,"Informe firma verificadora","Numerador: Número de unidades salud que implementan el algoritmo de atención de pacientes sospechosos de COVID-19. Denominador: Número total de unidades de salud (72 hospitales y 143 C/S)","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"425","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 2: Apoyar esfuerzos para la interrupción de la cadena de transmisión de la enfermedad3","Población al que se le envía mensajes para la prevención y manejo del COVID-19.","%",0,"Informe firma verificadora","Numerador: Número de personas a las que se les envía mensajes educativos para la prevención y manejo del COVID-19 Denominador: Número de personas del país La estrategia de comunicación se adaptará a zonas urbanas, rurales, indígenas y para zonas de frontera. De acuerdo con las características particulares de cada zona del país (idioma, etnicidad, idiosincrasia)","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"426","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 2: Apoyar esfuerzos para la interrupción de la cadena de transmisión de la enfermedad3","Personal de salud capacitado en el uso y disposición final de los EPP.","%",0,"Informe firma verificadora Informe de la OPS","Numerador: Número de personal de salud capacitado en el uso y disposición final de los EPP Denominador: Número de personal de salud","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"427","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 1: Mejorar la detección y el seguimiento de los casos","Personal de establecimientos de salud capacitados para la toma de muestras para COVID-19.","%",26,"Informe firma verificadora y OPS","Numerador: Número de personal de salud capacitados en toma de muestras para COVID-19 (personal de laboratorio, médicos del área de COVID-19). Denominador: Total de personal de salud en establecimientos de salud definidos para la toma de muestras (personal de laboratorio, médicos del área de COVID-19).","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"428","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 3: Mejorar la capacidad de provisión de servicios","Pacientes con COVID-19 atendidos en hospitalización general de conformidad con el protocolo del país.","%",0,"Expediente clínico Informe firma verificadora","Numerador: Número de pacientes con COVID-19 atendidos en hospitalización de conformidad con el protocolo de atención Denominador: Número de pacientes con COVID-19 atendidos en hospitalización","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"429","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 2: Apoyar esfuerzos para la interrupción de la cadena de transmisión de la enfermedad3","Personal comunitario capacitado en el uso y disposición final de los EPP.","%",0,"Informe firma verificadora Informe de la OPS","Numerador: personal de la red comunitaria capacitado menor de 60 años en el uso y disposición final de los EPP Denominador: Número de personal de la red comunitaria menor de 60 años comunitario","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"430","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 3: Mejorar la capacidad de provisión de servicios","Unidades de salud que implementan el plan de manejo de desechos hospitalarios según protocolo actualizado.","%",0,"Informe firma verificadora","Numerador: Número unidades de salud que implementan el plan de manejo de desechos hospitalarios según protocolo actualizado. Denominador: Número total de unidades de salud (72 hospitales y 143 C/S)","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"431","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 2: Apoyar esfuerzos para la interrupción de la cadena de transmisión de la enfermedad3","Personal de salud asistencial capacitado en la implementación de protocolos, lineamientos y guías de manejo y atención de casos de COVID-19.","%",0,"Informe firma verificadora Informe de la OPS","Numerador: Número de personal de salud capacitado en el uso y disposición final de los EPP Denominador: Número de personal de salud","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"432","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 3: Mejorar la capacidad de provisión de servicios","Pacientes con COVID-19 atendidos en UCI de conformidad con el protocolo.","%",0,"Expediente clínico Informe firma verificadora","Numerador: Número de pacientes con COVID-19 atendidos en UCI de conformidad con el protocolo de atención en UCI Denominador: Número de pacientes con COVID-19 atendidos en UCI","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"433","NI-L1161",2020,"Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua","Nicaragua","Help reduce COVID 19 morbidity and mortality and mitigate the other indirect health effects of the pandemic","OBJETIVO ESPECÍFICO 1: Mejorar la detección y el seguimiento de los casos","Laboratorios con capacidad de diagnóstico de COVID-19.","%",1,"Informe firma verificadora","Numerador: Laboratorios con capacidad para procesamiento de muestras para COVID-19 Denominador: 15 laboratorios para procesamiento de muestras Covid-19En el primer año no se contemplan los laboratorios que tendrán mejoras en infraestructura. Capacidad de diagnóstico: 3 laboratorios para PCR y 15 para pruebas serológicas","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
